Artist,Album,Song,Year
Nomadic Orchestra,Move Your Things,The Fish ,2013
Not my Dog,Dogumentary,Safari Music,2000
Oh So Serious,Lo Fi Hoax,I Still Got My Man,2014
One Day Remains,"Saints, Sinners & Confessions",The Need,2008
Orkez,In Opsomming,?,?
Parlotones,Stardust Galaxies,Push me to the Floor,2009
Parlotones,A World Next Door to Yours,I'll Be There,2007
Peach,On Loan For Evolution,It's so Luvverly,1981
Perez,Picture Perfect,Picture Perfect,2002
Pestroy,Enemy Within,Adapt or Die,2006
Petit Cheval,Once in a Lifetime,Once in a Lifetime,1985
Petite Noir,La Vie Est Belle,Down,2015
Piet Botha,Suitcase vor Winter,Sien Jou Weer,1997
Piet Botha,Spookpsalms,Sysie September,2011
Piet Botha,Die Mamba,Die Mamba,2008
Plastics,Pyramid,Stereo Kids,2012
Plastics,Shark,Caves,2011
Plush,All That is Should Be,Today,2004
Prime Circle,Evidence,Evidence,2011
Prime Circle,All or Nothing,She Always Gets What She Wants,2008
Prime Circle,Hello Crazy World,Hello   ,2003
Prophets of Da City,Age Of Truth,Mahalla,1993
Prophets of Da City,Universal Souljaz,Call of The Drumz,2013
Qkumba Zoo,Wake Up & Dream,The Child,1996
Rabbitt,Boys Will Be Boys,Charlie,1975
Radio Kalahari Orkes,Heuningland,Staan By My,2009
Radio Rats,Into the Night We Slide,ZX Dan,1978
Ramblin' Bones,Watching & Waiting,Baby Shoes,2008
Real Estate Agents,Real Estate Agents,Nice One George,2005
Red Huxley,Nothing More,Nothing More,2013
Rian Malan,Alien Inboorling,Bloekomboom,2005
Riku Latti,Aan't Sterre Tel,Waar is jy?,2004
Roan Ash,Whiskey to my Soul,If I Ever Saw Heaven,2018
Robin Auld,Love Kills - Songs About Girls,Perfect Day,2010
Robin Auld,Over the Mountain,Baby You Been Good,2012
Rooibaardt,Increase da Peace,Pula,2005
Rubber Duc,The Secret Sunrise,Feet,2016
Ruby Gill,Older,Fault,2016
"Rudimentals, The",Set it Proper,Wear a Hat,2006
Running With Scissors,Beautifully Bruised,Hanging on the Telephone,2005
Ryno Velvet,Alfabet,Kranse  Bieg,2014
Ryno Velvet,Karma,Ai My Lam,2006
SacriFist,The Well of Sacrifice,Odin,2004
Sannie Fox,Serpente Masjien,Hang High,2015
Saron Gas,Fragile,Tied my Hands,2000
Scicoustic,Mirrors,Assassin,2001
Sean Koch,Your Mind Is A Picture,Your Mind Is A Picture,2019
Seether,Finding Beauty in Negative Spaces,Fake It,2007
Seether,Disclaimer,Broken,2002
Seether,Karma & Effect,Remedy,2005
Semisane,A Life Less Strange,Life,2001
Shadowclub,Goodbye Wild Child,Dirt and Rubble,2013
Shadowclub,Guns and Money,Good Morning Killer,2011
Shaun Jacobs,Love Can,End of the Road,2013
Shortstraw,Good Morning Sunshine,Couch Potato,2013
Shortstraw,"You're Underfed, I'm Wonderful",Keanu Reeves,2011
Shortstraw,Youthless,OMG,2015
Shotgun Tori,Be Brave,Be Brave,2013
Shuttermouth,Terminally Glad,,1997
Sick-Leaves,Tunnel Vision,Such a Waste,2006
Sibot,In With The Old,Bang On The Drum,2007
Silex,Legendary Beauty,Fields of Grey,2002
Sipho Mabuse,Burn Out,Burn Out,1984
Skwatta Kamp,Washumkhukhu,The Clap Song,2004
Slagyster,Slagyster,Kantlyn,2005
Slashdogs,The Hunger,Habitual,2009
Somerfaan,Alien Boogie Stuff,Polisiehelikopter,2015
Somerfaan,Kyk of Sy Kyk,Tarzan Kom Huis Toe,2010
Sons of Settlers,Lullabies for the restless,Stay Together,2015
Sons of Trout,Take me to Your Fishmonger,Getting Hotter,1997
Southern Gypsey Queen,Sweet Voodoo,Souls of Africa,2004
Southern Wild,Lead Role in a Classic Horror,Time Eraser,2017
Spectres,Be Bop Pop,Be Bop Pop,1989
Spoegwolf,Swaartekrag,Lenie Blou,2012
Spoegwolf,Koma,Blou,2019
Spoek Mathambo,Mshini Wam,Control,2010
Spoek Mathambo,Father Creeper,Kites,2012
Springbok Nude Girls,Afterlifesatisfaction,Genie,1996
Springbok Nude Girls,Surpass the Powers,Donatello,1999
Springbok Nude Girls,Neanderthal,Bubblegum on my Boots,1995
Springbok Nude Girls,Relaxzor,Unworldly Beauty,2000
Squeal,Civilized?,Higher,1999
Squeal,Long Pig,Runners,1995
Squeal,Man and Woman,Critical Mass,1997
Stealing Love Jones,Stealing Love Jones,Kicks,2008
Stoker,Stoker,Keep Swirling,2017
Straatligkinders,Bloeisels,Kan Ek Met Jou Dans,2006
Straatligkinders,Sweef Soos 'n Vuishou,Gewonde Standbeeld,2008
Sugardrive,When I Died I Was Elvis,Disco Lazarus,1999
Sugardrive,Sand Man Sky,Ten Feet High,1997
Sunset Sweatshop,Chasing Gold,Coming Along,2018
Sunways,The Moon is a Spoon,Colour Me In,2001
Syd Kitchen,City Child,Butter on the Mind,1995
Synthmospheria,Transcience,Rediscovering Myself Again,2019
Tailor,The Dark Horse,Wolf,2012
Tananas,Seed,Caminhos,1999
Taxi Violence,Soul Shake,God's Gonna Cut You Down,2013
Taxi violence,The Turn,Devil 'n Pistol,2009
Taxi Violence,Untie Yourself,Untie Yourself,2006
Terminatryx,Shadow,Metropolis,2014
Thieve,Gold   ,Lion Minus Mane,2009
Thysis,?,?,?
Tidal Waves,Manifesto,Happy Man,2011
Tidal Waves,Afrika,Kia Ora,2007
TKZee,Halloween,Dlala Mapantsula,1998
Toya Delazy,Ascension,My City,2014
Toya Delazy,Due Drop,Love Is In The Air,2013
Tree 63,Tree 63,Treasure,2000
Tribe After Tribe,Power,As I Went Out One Morning,1985
Trike,Kennis Van Die Oggend,,2005
Trike,Volle Militere Eerbetoon,,2003
Tumi & Chinese Man,The Journey,Pills For Your Ills,2015
Tumi & The Volume,Pick A Dream,Reality Check,2010
Tumi & The Volume,Tumi and the Volume,Afrique,2006
Tweak,Dirty Sanchez and the Misfit Kids,House Party,2003
Tweak,The Romantic Lure of Possum Worship,Birthday Card,2001
Underbelly,For A Cynical Science,Need,2007
Unkle Spike,I in the Sky,Hou Net Vas,2018
Urban Creep,Tightroper,Slow Thighs,1995
Usual,Born in a Storm,The Shape That I'm In,1999
Valiant Swart,Die Mystic Boer,Die Mystic Boer,1997
Valiant Swart,Deur Die Donker Vallei,Deur Die Donker Vallei,1999
Valiant Swart,Maanhare,Sonvanger,2002
Van Coke Kartel,"Skop, Skiet en Donner",Voor ons Stof Word,2010
Van Coke Kartel,Wie's Bang,Dis 'n Land,2011
Van Coke Kartel,Van Coke Kartel,Duiwelspiek,2007
van der Want/Letcher,Low Riding,Place of our Own,1998
Van Pletzen,Kak Lekke Vibes,Jy Bly Stil,2018
Very Wicked,You're the Eveything is us,No Time,2014
Voice of Destruction,Bloedrivier,Bloedrivier,1996
Vulvodynia,Lord of Plagues,Drowned in Vomit,2014
Vusi Mahlasela,The Voice,When You Come Back,2003
Vusi Mahlasela,Wisdom of Forgiveness,Basimanyana,1994
Walter Mmari,Death Is A Disease,,2016
Walter Mmari,Angels Without Wings,,2011
Watershed,In The Meantime,Indigo Girl,2000
Wickhead,End is the Beginning,Bright Lights Blvd,2007
Willim Welsyn,Blitzkriek,Al Die Cool Kinders,2017
Willim Welsyn,Buikspraak,Toastersport,2006
Winterstasie,Klanke Van Die Antieke,Los My,2011
Wonderboom,Never Ever Ever Ever,Something Wrong,2000
Wonderboom,Rewind,African Son,2001
Wonderboom,Rising Sun,Ooh La La,2017
Wrestlerish,The Rude Mechanical,Bad News,2010
Wrestlerish,Greater Goods and Lesser Evils,Battle Ground,2014
Yesterday's Pupil,Errors of Enthusiasm,Lines and Colours,2008
Yoav,Charmed and Strange,Club Thing,2007
Yoav,A Fullproof Escape Plan,We Are All Dancing,2010
Zahara,Loliwe,Loliwe,2011
Zebra & Giraffe,The Inside,It's Not What it Seems,2010
Zebra & Giraffe,The Wisest Ones,My Best,2012
Zen Arcade,Snowflake,Crazy Ove You,2001
Zen Arcade,Moonshine,Get You Back,2018
Zinkplaat,Musiek uit die Geraas,Die Spons,2007
Zinkplaat,Miskruier Gaan See Toe,Piekniek opie Maan,2006
